Year, League, Team, Wins, Losses, Ties, WinPCT, 
2018,Central League,Hiroshima,82,59,2,.582
2018,Central League,Yakult,75,66,2,.532
2018,Central League,Yomiuri,67,71,5,.486
2018,Central League,DeNA,67,74,2,.475
2018,Central League,Chunichi,63,78,2,.447
2018,Central League,Hanshin,62,79,2,.440
2018,Pacific League,Seibu,88,53,2,.624
2018,Pacific League,SoftBank,82,60,1,.577
2018,Pacific League,Nippon-Ham,74,66,3,.529
2018,Pacific League,ORIX,65,73,5,.471
2018,Pacific League,Lotte,59,81,3,.421
2018,Pacific League,Rakuten,58,82,3,.414
2017,Central League,Hiroshima,88,51,4,.633
2017,Central League,Hanshin,78,61,4,.561
2017,Central League,DeNA,73,65,5,.529
2017,Central League,Yomiuri,72,68,3,.514
2017,Central League,Chunichi,59,79,5,.428
2017,Central League,Yakult,45,96,2,.319
2017,Pacific League,SoftBank,94,49,0,.657
2017,Pacific League,Seibu,79,61,3,.564
2017,Pacific League,Rakuten,77,63,3,.550
2017,Pacific League,ORIX,63,79,1,.444
2017,Pacific League,Nippon-Ham,60,83,0,.420
2017,Pacific League,Lotte,54,87,2,.383
2016,Central League,Hiroshima,89,52,2,.631
2016,Central League,Yomiuri,71,69,3,.507
2016,Central League,DeNA,69,71,3,.493
2016,Central League,Hanshin,64,76,3,.457
2016,Central League,Yakult,64,78,1,.451
2016,Central League,Chunichi,58,82,3,.414
2016,Pacific League,Nippon-Ham,87,53,3,.621
2016,Pacific League,SoftBank,83,54,6,.606
2016,Pacific League,Lotte,72,68,3,.514
2016,Pacific League,Seibu,64,76,3,.457
2016,Pacific League,Rakuten,62,78,3,.443
2016,Pacific League,ORIX,57,83,3,.407
2015,Central League,Yakult,76,65,2,.539
2015,Central League,Yomiuri,75,67,1,.528
2015,Central League,Hanshin,70,71,2,.496
2015,Central League,Hiroshima,69,71,3,.493
2015,Central League,Chunichi,62,77,4,.446
2015,Central League,DeNA,62,80,1,.437
2015,Pacific League,SoftBank,90,49,4,.647
2015,Pacific League,Nippon-Ham,79,62,2,.560
2015,Pacific League,Lotte,73,69,1,.514
2015,Pacific League,Seibu,69,69,5,.500
2015,Pacific League,ORIX,61,80,2,.433
2015,Pacific League,Rakuten,57,83,3,.407
2014,Central League,Yomiuri,82,61,1,.573
2014,Central League,Hanshin,75,68,1,.524
2014,Central League,Hiroshima,74,68,2,.521
2014,Central League,Chunichi,67,73,4,.479
2014,Central League,DeNA,67,75,2,.472
2014,Central League,Yakult,60,81,3,.426
2014,Pacific League,SoftBank,78,60,6,.565
2014,Pacific League,ORIX,80,62,2,.563
2014,Pacific League,Nippon-Ham,73,68,3,.518
2014,Pacific League,Lotte,66,76,2,.465
2014,Pacific League,Seibu,63,77,4,.450
